答卷编号,Q1_性别,Q2_您所在的城市是_省份,Q2_您所在的城市是_城市,Q2_您所在的城市是_区/县,Q3_工作年限,Q4_个人月收入,Q5_基础设施建设,"Q6_生态环境(包括城市绿化,城市景观生态文明等)",Q7_治安环境,Q8_产业发展,Q9_企业条件,Q10_职业发展,Q11_收入水平,Q12_住房条件,Q13_户籍政策,Q14_配偶就业,Q15_子女教育,Q16_生活成本,Q17_交通状态,Q18_休闲娱乐,Q19_请问您的主要职业或者毕业之后将要成为的主要职业是什么,Q20_请问你觉得济南这座城市对您是否有吸引力呢
63,男,吉林省,长春市,九台区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,一般,不能够,一般,一般,一般,一般,比较能够,比较能够,金融从业者,有较强的吸引力
64,男,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,比较能够,一般,比较能够,一般,非常能够,非常能够,一般,一般,一般,一般,非常能够,管理人员,一般
65,女,山东省,泰安市,岱岳区,1年及以下,2000元及以下,比较能够,一般,一般,比较能够,比较能够,比较能够,比较能够,比较能够,一般,一般,比较能够,比较能够,不能够,比较能够,教育科研,一般
66,女,山东省,济宁市,任城区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,非常能够,一般,非常能够,一般,比较能够,教育科研,不作考虑
67,女,山东省,济南市,历下区,1年及以下,2001-3000元,一般,一般,一般,比较能够,比较能够,比较能够,不能够,一般,一般,比较能够,不能够,不能够,不能够,一般,管理人员,一般
68,男,山东省,济南市,章丘市,6-9年,5001-8000元,一般,比较能够,不能够,不能够,一般,比较能够,一般,一般,一般,比较能够,一般,一般,不能够,一般,服务售后,不作考虑
70,女,山东省,济宁市,任城区,4-5年,2001-3000元,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,一般,比较能够,比较能够,比较能够,比较能够,一般,比较能够,一般,金融从业者,有较强的吸引力
71,男,山东省,济宁市,任城区,6-9年,3001-5000元,一般,一般,一般,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,一般,不能够,技工人才,一般
72,男,北京市,北京市,朝阳区,1年及以下,20000元以上,不能够,一般,一般,不能够,不能够,不能够,一般,比较能够,比较能够,不能够,一般,非常能够,一般,一般,技术研发人才,不作考虑
73,男,江苏省,淮安市,清江浦区,1年及以下,2000元及以下,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,比较能够,非常能够,非常能够,比较能够,非常能够,非常能够,比较能够,比较能够,教育科研,一般
76,男,山东省,济南市,历城区,4-5年,12001-20000元,一般,一般,一般,不能够,不能够,一般,一般,不能够,不能够,一般,一般,比较能够,不能够,一般,技术研发人才,一般
77,女,福建省,泉州市,丰泽区,1年及以下,3001-5000元,一般,比较能够,非常能够,比较能够,非常能够,非常能够,比较能够,非常能够,比较能够,比较能够,非常能够,非常能够,比较能够,一般,金融从业者,不作考虑
78,男,山东省,淄博市,淄川区,10年及以上,8001-12000元,比较能够,比较能够,比较能够,一般,一般,比较能够,一般,一般,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,其他,有较强的吸引力
79,女,山东省,济南市,天桥区,1年及以下,2000元及以下,一般,比较能够,一般,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,教育科研,不作考虑
80,女,山东省,济南市,市中区,2-3年,2000元及以下,一般,一般,一般,比较能够,一般,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,一般
81,男,河南省,郑州市,金水区,1年及以下,3001-5000元,不能够,比较能够,不能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,不作考虑
82,男,北京市,北京市,东城区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,不二选择
83,男,北京市,北京市,海淀区,1年及以下,2001-3000元,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,不作考虑
84,男,北京市,北京市,昌平区,2-3年,2000元及以下,一般,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,技术研发人才,有较强的吸引力
85,男,浙江省,杭州市,余杭区,4-5年,12001-20000元,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,技术研发人才,一般
86,男,上海市,上海市,浦东新区,1年及以下,5001-8000元,比较能够,比较能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,一般,非常能够,非常能够,非常能够,非常能够,不能够,技术研发人才,不作考虑
87,男,山东省,济南市,天桥区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,非常能够,比较能够,比较能够,一般,技术研发人才,一般
88,男,上海市,上海市,浦东新区,2-3年,3001-5000元,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,非常能够,非常能够,比较能够,比较能够,技术研发人才,一般
89,男,广西壮族自治区,北海市,铁山港区,1年及以下,2000元及以下,比较能够,一般,一般,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,不能够,不能够,比较能够,一般,一般,技术研发人才,不作考虑
90,男,四川省,成都市,武侯区,1年及以下,8001-12000元,一般,非常能够,比较能够,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,技术研发人才,一般
91,男,北京市,北京市,海淀区,2-3年,12001-20000元,比较能够,非常能够,非常能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,一般,一般,一般,技术研发人才,一般
92,女,山东省,济南市,市中区,6-9年,8001-12000元,非常能够,一般,一般,比较能够,比较能够,一般,一般,一般,一般,比较能够,比较能够,一般,不能够,不能够,管理人员,不二选择
93,女,北京市,北京市,海淀区,1年及以下,2000元及以下,一般,比较能够,一般,比较能够,一般,一般,不能够,不能够,不能够,不能够,一般,一般,比较能够,比较能够,其他,一般
94,男,北京市,北京市,海淀区,10年及以上,12001-20000元,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,比较能够,比较能够,管理人员,有较强的吸引力
95,男,山东省,济南市,天桥区,1年及以下,2000元及以下,一般,不能够,一般,比较能够,比较能够,比较能够,一般,不能够,一般,一般,一般,一般,一般,一般,技术研发人才,一般
96,女,山东省,菏泽市,曹县,1年及以下,2001-3000元,一般,比较能够,一般,比较能够,一般,一般,一般,一般,一般,一般,一般,一般,比较能够,一般,销售人才,一般
97,女,江苏省,镇江市,京口区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,不能够,不能够,不能够,非常能够,非常能够,非常能够,教育科研,不作考虑
98,男,山东省,济南市,市中区,10年及以上,5001-8000元,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,非常能够,非常能够,非常能够,一般,技工人才,一般
99,女,山东省,济南市,市中区,10年及以上,3001-5000元,非常能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,医疗,不二选择
100,女,山东省,菏泽市,曹县,4-5年,3001-5000元,比较能够,比较能够,比较能够,比较能够,一般,一般,一般,一般,比较能够,比较能够,一般,比较能够,一般,一般,技工人才,一般
101,男,北京市,北京市,海淀区,1年及以下,2000元及以下,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,不二选择
102,男,山东省,济南市,天桥区,1年及以下,5001-8000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,其他,有较强的吸引力
